課程代碼,course_name, ,人數指標,影片個數x,問題個數y,討論個數z,總登入次數, ,登入指標,影片觀看度a,作答度b,討論度c,參與指標,熱門參與度
F06,併軌-發現社會企業,96,57.6,24,24,68,585,6.09375,8.96,30.38,62.28,0,30.88,31.84
SE36,錢進未來---餐飲創業成本與管理,96,57.6,57,126,0,157,1.635416667,1.3,4.85,2.65,0,2.52,13.29
SD33,臺灣當代藝術與視覺文化鑑賞,93,55.8,52,0,0,184,1.978494624,3.8,5,0,0,1.7,12.94
SE27,大學生的必修學分-情感教育,91,54.6,88,10,0,199,2.186813187,2.49,4.17,0.33,0,1.53,12.33
SD18,銀髮族的身心靈發展,91,54.6,88,0,0,155,1.703296703,1.94,2.62,0,0,0.89,11.84
E20,餐廳科技管理與應用實務,89,53.4,129,188,5,316,3.550561798,1.89,3.42,3.53,5.2,4.04,13.48
D03,臺灣客家文化導論-臺灣的客家話與客家文學,88,52.8,18,83,4,794,9.022727273,10.87,54.73,70.84,71.6,65.61,52.1
SD34,地球從誕生到演化,88,52.8,61,0,2,159,1.806818182,2.96,3.13,0,0,1.06,11.79
F10,智慧生活–運輸與物流之應用,87,52.2,27,67,16,371,4.264367816,6.36,9.32,10.84,4.8,8.33,16.71
F12,海洋之窗－看見台灣的海洋科學發展軌跡,84,50.4,41,51,25,478,5.69047619,11.16,13.04,30.74,8.8,17.48,22.8
F18,創意思解,84,50.4,85,104,21,405,4.821428571,4.64,8.17,10.3,8.8,9.08,16.46
SD19,古韻新妍-中國古典詩詞吟唱,84,50.4,70,0,0,205,2.44047619,3.49,3.98,0,0,1.35,11.59
SE37,3D動畫製作-Maya,84,50.4,56,170,0,175,2.083333333,1.23,3.1,2.51,0,1.88,11.46
SD13,居家照顧實務,82,49.2,54,0,0,168,2.048780488,3.79,6.73,0,0,2.29,11.97
C08,普通化學,81,48.6,42,70,6,449,5.543209877,7.92,4.73,2.03,3.2,3.33,13.3
SE55,愛情心理學,81,48.6,63,26,0,143,1.765432099,2.8,3.39,1.23,0,1.56,11.22
D14,為公司把把脈,80,48,73,90,10,340,4.25,4.72,2.91,5.79,4.8,4.48,13.24
E38,成本疊疊樂,79,47.4,74,162,16,565,7.151898734,4.41,7.61,10.06,18.8,12.11,17.63
C04,微積分拾級（二）,78,46.8,50,0,3,614,7.871794872,15.74,8.05,0,20.4,9.47,18.19
SE92,系統程式,78,46.8,59,25,0,155,1.987179487,3.37,3.24,1.54,0,1.61,11
E32,作業系統,77,46.2,121,140,21,466,6.051948052,4.32,4.26,2.88,0.4,2.53,11.62
SE18,如何看到世界：眼睛、大腦與視覺,77,46.2,100,159,0,158,2.051948052,1.29,1.92,2.91,0,1.61,10.47
D21,從車庫到金庫─看見台灣企業生命力(逢甲國貿專班),75,45,85,41,6,532,7.093333333,8.35,13.6,29.4,7.2,16.7,20.69
E11,創業魯蛇列傳,73,43.8,53,8,4,252,3.452054795,6.51,9.82,20.89,0,10.23,16.2
SD31,環境倫理與永續發展,72,43.2,37,0,0,148,2.055555556,5.56,5.97,0,0,2.03,10.97
SE16,普通化學-原子結構與原子間的鍵結,71,42.6,49,108,0,185,2.605633803,2.41,8.28,5.1,0,4.5,11.7
SE13,創意學經濟,71,42.6,35,0,1,156,2.197183099,6.28,3.66,0,0,1.25,10.52
E02,普通化學－平衡、酸與鹼、水溶液的平衡,70,42,42,70,1,456,6.514285714,9.31,27.96,20.49,0,16.27,20.02
SE53,本草學,70,42,97,130,0,119,1.7,1.31,1.16,1.66,0,0.94,9.23
SE71,當代應用心理學,68,40.8,78,46,0,114,1.676470588,2.15,1.58,0.29,0,0.63,8.97
D18,從車庫到金庫- 看見台灣企業生命力 (企業專班-薰衣草森林),67,40.2,50,20,0,349,5.208955224,10.42,14.99,9.7,0,8.3,15.1
SE93,資訊安全導論,67,40.2,25,28,0,149,2.223880597,7.94,11.88,4.74,0,5.6,12.99
E26,台灣小說選讀,66,39.6,70,0,21,657,9.954545455,14.22,24.81,0,100,41.43,35.62
