課程代碼,course_name, ,人數指標,影片個數x,問題個數y,討論個數z,總登入次數, ,登入指標,影片觀看度a,作答度b,討論度c,參與指標,熱門參與度
XF13,太陽能教學聯盟中心─太陽光電技術與應用,2,1.2,4,0,0,18,9,100,8.33,0,0,2.83,21.94
SE75,參與「通識教育磨課師」跨校合作計畫-『生活、科技與法律』課程,2,1.2,67,110,0,15,7.5,6.82,0,0,0,0,1.6
XF11,工業節能聯盟中心─節能技術導論,1,0.6,0,0,0,22,22,0,0,0,0,0,0.12
SE01,親密的敵人-寄生蟲學,1,0.6,81,120,0,18,18,15,2.47,0,0,0.84,3.62
SE97,創新服務與公益創業,1,0.6,0,0,0,16,16,0,0,0,0,0,0.12
F19,五術五課．悠遊職場,0,0,0,0,0,4,#DIV/0!,-1,0,0,0,0,-0.2
SE84,生命教育-生命不設限,0,0,34,42,0,14,#DIV/0!,-1,0,0,0,0,-0.2
SE98,水圳開拓與文化發展,0,0,0,0,0,15,#DIV/0!,-1,0,0,0,0,-0.2
XF07,儲能教學聯盟中心─儲能技術與應用,0,0,67,324,0,39,#DIV/0!,-1,0,0,0,0,-0.2
XF12,儲能教學聯盟中心─儲能技術與應用,0,0,67,324,0,39,#DIV/0!,-1,0,0,0,0,-0.2
