year,peak_load,PRM
71,691.8,26.8
72,780.8,29.2
73,,22.1
74,871.6,
75,990,48.3
76,1111.3,35
77,1233.1,21.7
78,1342.2,14
79,1451.1,7.4
80,1532.1,4.8
81,1670.4,6.7
82,,4.2
83,1861,4.8
84,1993.3,4.7
85,2176.2,5.6
86,2223.7,11
87,,7.7
88,2420.6,12.5
89,2585.4,12.6
90,2629,13.2
91,2711.7,
92,2859.4,14.6
93,2903.4,20.2
94,3094.3,16.3
95,3206,16.1
96,3279.1,
97,3132,21.1
98,3101.1,28.1
99,3302.3,
100,3378.7,20.6
101,3308.1,22.7
102,,17.5
103,3482.1,14.7
104,3524.8,
